module_id	module_name	tier	source_org_count	source_orgs
M00555	Betaine biosynthesis, choline => betaine	A	4	bsr,bsu,ecj,eco
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island	A	2	heo,hpy
M00565	Trehalose biosynthesis, D-glucose-1P => trehalose	A	3	ade,dra,ote
M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	A	1	tro
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	A	25	aba,ade,afr,bsr,bsu,ddf,din,dth,ecj,eco,gsk,gsu,hin,hit,lpro,nme,nmp,ote,rba,syn,syz,tai,tma,tnr,tro
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	A	9	afr,ecj,eco,gsu,hin,hit,mbf,nme,nmp
M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	A	2	bsr,bsu
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	A	4	aae,bsr,bsu,tye
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	A	44	ade,alam,apr,apv,bbz,bsed,bsr,bsu,bth,btho,caby,cac,caci,cae,cprv,ddf,din,dra,ecj,eco,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,hin,hit,ial,mmy,mmym,nme,nmp,ote,rba,rpo,rpr,syn,syz,tma,vai,vbl
M00580	Pentose phosphate pathway, archaea, fructose-6P => ribose-5P	A	2	cac,cae
M00595	Sulfur oxidation, SOX system, thiosulfate => sulfate	A	4	aae,ade,cte,vab
M00596	Dissimilatory sulfate reduction, sulfate => H2S	A	2	cte,tye
M00597	Anoxygenic photosystem II	A	1	vab
M00598	Anoxygenic photosystem I	A	1	cte
M00609	Cysteine biosynthesis, methionine => cysteine	A	2	bsr,bsu
M00615	Nitrate assimilation	A	6	bsr,bsu,lpro,rmr,syn,syz
M00616	Sulfate-sulfur assimilation	A	5	ecj,eco,ote,syn,syz
M00621	Glycine cleavage system	A	41	aba,ade,afr,alam,bba,bsed,bsr,bsu,bth,btho,caby,caci,ccz,cex,cpo,cprv,cte,dth,ecj,eco,emi,fma,fml,gau,gsk,gsu,ial,lpro,nli,nmp,ote,rba,rmr,syn,syz,tma,tnr,tro,vab,vai,vbl
M00627	beta-Lactam resistance, Bla system	A	3	aba,bth,btho
M00631	Galacturonate degradation, bacteria, galacturonate => pyruvate + glyceraldehyde-3P	A	9	bsr,bsu,bth,btho,cac,cae,ecj,eco,lpro
M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	A	13	aba,apv,bsr,bsu,cac,cae,ecj,eco,fnu,hin,hit,rmr,tma
M00696	Multidrug resistance, efflux pump AcrEF-TolC	A	2	ecj,eco
M00697	Multidrug resistance, efflux pump MdtEF-TolC	A	2	ecj,eco
M00700	Multidrug resistance, efflux pump AbcA	A	2	bsr,bsu
M00705	Multidrug resistance, efflux pump MepA	A	2	cac,cae
M00746	Multidrug resistance, repression of porin OmpF	A	2	ecj,eco
M00761	Und-P-alpha-L-Ara4N biosynthesis, UDP-Glc => UDP-L-Ara4FN => Und-P-alpha-L-Ara4N	A	2	ecj,eco
M00787	Bacilysin biosynthesis, prephenate => bacilysin	A	2	bsr,bsu
M00793	dTDP-L-Rha biosynthesis, Glc-1P => dTDP-L-Rha	A	36	ade,afr,apv,bsu,bth,btho,caby,cac,cae,ccz,cprv,cte,din,dra,dth,ecj,eco,fml,fsu,fvg,gsk,gsu,ial,mbf,nli,nme,nmp,ote,rmr,syn,syz,tai,tnr,tro,ttk,vab
M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	A	2	ctd,ctr
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	A	1	cte
M00844	Arginine biosynthesis, ornithine => arginine	A	45	aae,aba,ade,afr,alam,apr,bsr,bsu,caby,cac,cae,ccz,cex,cprv,cte,ddf,det,din,dra,dth,ecj,eco,fml,fsu,gau,gsk,gsu,hin,hit,lpro,nli,nme,nmp,ote,rba,syn,syz,tai,tnr,tro,ttk,tye,vab,vai,vbl
M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	A	1	bsed
M00846	Siroheme biosynthesis, glutamyl-tRNA => siroheme	A	10	ade,bsr,bsu,ccz,ecj,eco,gsk,nme,nmp,tye
M00847	Heme biosynthesis, archaea, siroheme => heme	A	2	cac,cae
